odometer_value,year_produced,engine_has_gas,engine_capacity,has_warranty,price_usd,is_exchangeable,number_of_photos,up_counter,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed,transmission_mechanical,color_blue,color_brown,color_green,color_grey,color_orange,color_other,color_red,color_silver,color_violet,color_white,color_yellow,engine_fuel_gasoline,engine_fuel_hybrid,body_type_coupe,body_type_hatchback,body_type_liftback,body_type_limousine,body_type_minibus,body_type_minivan,body_type_pickup,body_type_sedan,body_type_suv,body_type_universal,body_type_van,drivetrain_front,drivetrain_rear,state_new,state_owned,location_region_Витебская обл.,location_region_Гомельская обл.,location_region_Гродненская обл.,location_region_Минская обл.,location_region_Могилевская обл.,man_Alfa Romeo,man_Audi,man_BMW,man_Buick,man_Cadillac,man_Chery,man_Chevrolet,man_Chrysler,man_Citroen,man_Dacia,man_Daewoo,man_Dodge,man_Fiat,man_Ford,man_Geely,man_Great Wall,man_Honda,man_Hyundai,man_Infiniti,man_Iveco,man_Jaguar,man_Jeep,man_Kia,man_LADA,man_Lancia,man_Land Rover,man_Lexus,man_Lifan,man_Lincoln,man_Mazda,man_Mercedes-Benz,man_Mini,man_Mitsubishi,man_Nissan,man_Opel,man_Peugeot,man_Pontiac,man_Porsche,man_Renault,man_Rover,man_Saab,man_Seat,man_Skoda,man_SsangYong,man_Subaru,man_Suzuki,man_Toyota,man_Volkswagen,man_Volvo,man_ВАЗ,man_ГАЗ,man_ЗАЗ,man_Москвич,man_УАЗ,model_encoded,car_age
280000,2003,0,2.0,0,6900.0,1,14,6,0,1,0,1,0,1,0,1,1,1,11,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8075.26498713256,17
256000,2008,0,3.6,0,8350.0,1,18,61,0,1,1,1,1,1,0,0,1,1,80,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8193.848580756221,12
321000,2002,0,2.0,0,4300.0,0,13,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8075.26498713256,18
49999,2001,0,1.3,0,1666.0,0,8,94,1,0,0,0,0,0,0,0,0,0,230,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5842.913052620649,19
154685,2011,0,2.5,0,8600.0,1,24,34,0,1,0,1,0,0,0,0,1,1,63,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8583.322971973123,9
163219,2004,0,2.0,0,7300.0,1,17,22,0,1,1,0,1,1,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8583.322971973123,16
318650,2005,0,3.0,0,7587.97,1,7,166,0,1,0,1,1,1,0,0,1,1,468,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8583.322971973123,15
191000,2005,0,2.0,0,10950.0,0,12,7,0,1,0,0,0,0,0,0,0,1,21,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6819.914977729431,15
179000,2014,0,2.0,0,12700.0,0,14,14,0,0,1,1,0,1,1,1,1,1,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8075.26498713256,6
159000,2013,0,2.0,0,16500.0,0,6,34,0,1,1,0,1,1,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8075.26498713256,7
